region,country,gender,type,total,never,always,mostly,sometimes,can't remember
africa,botswana,n,verbal,0,0,0,0,0,0
africa,kenya,n,verbal,1,1,0,0,0,0
africa,malawi,n,verbal,0,0,0,0,0,0
africa,rwanda,n,verbal,0,0,0,0,0,0
africa,tanzania,n,verbal,0,0,0,0,0,0
africa,uganda,n,verbal,0,0,0,0,0,0
africa,zambia,n,verbal,0,0,0,0,0,0
africa,zimbabwe,n,verbal,0,0,0,0,0,0
africa,botswana,m,verbal,0,0,0,0,0,0
africa,kenya,m,verbal,1,0,0,1,0,0
africa,malawi,m,verbal,0,0,0,0,0,0
africa,rwanda,m,verbal,3,2,1,0,0,0
africa,tanzania,m,verbal,0,0,0,0,0,0
africa,uganda,m,verbal,1,0,0,0,1,0
africa,zambia,m,verbal,3,0,2,1,0,0
africa,zimbabwe,m,verbal,0,0,0,0,0,0
africa,botswana,f,verbal,5,2,1,1,1,0
africa,kenya,f,verbal,13,7,1,3,2,0
africa,malawi,f,verbal,7,3,3,0,1,0
africa,rwanda,f,verbal,4,3,1,0,0,0
africa,tanzania,f,verbal,8,2,2,2,2,0
africa,uganda,f,verbal,3,1,0,0,2,0
africa,zambia,f,verbal,7,2,2,0,3,0
africa,zimbabwe,f,verbal,9,1,0,2,6,0
africa,botswana,n,physical,0,0,0,0,0,0
africa,kenya,n,physical,0,0,0,0,0,0
africa,malawi,n,physical,0,0,0,0,0,0
africa,rwanda,n,physical,0,0,0,0,0,0
africa,tanzania,n,physical,0,0,0,0,0,0
africa,uganda,n,physical,0,0,0,0,0,0
africa,zambia,n,physical,0,0,0,0,0,0
africa,zimbabwe,n,physical,0,0,0,0,0,0
africa,botswana,m,physical,0,0,0,0,0,0
africa,kenya,m,physical,0,0,0,0,0,0
africa,malawi,m,physical,0,0,0,0,0,0
africa,rwanda,m,physical,1,0,1,0,0,0
africa,tanzania,m,physical,0,0,0,0,0,0
africa,uganda,m,physical,1,1,0,0,0,0
africa,zambia,m,physical,2,0,1,1,0,0
africa,zimbabwe,m,physical,0,0,0,0,0,0
africa,botswana,f,physical,6,3,2,0,1,0
africa,kenya,f,physical,6,2,0,0,2,2
africa,malawi,f,physical,0,0,0,0,0,0
africa,rwanda,f,physical,0,0,0,0,0,0
africa,tanzania,f,physical,7,4,0,1,1,1
africa,uganda,f,physical,3,0,0,0,2,1
africa,zambia,f,physical,2,0,1,0,1,0
africa,zimbabwe,f,physical,7,3,0,2,2,0