region,country,gender,type,total,Never,Once,2-4 Times,5 or more,unsure
africa,botswana,n,verbal,0,0,0,0,0,0
africa,kenya,n,verbal,1,0,1,0,0,0
africa,malawi,n,verbal,4,2,0,0,0,2
africa,rwanda,n,verbal,3,0,1,1,0,1
africa,tanzania,n,verbal,1,0,0,0,1,0
africa,uganda,n,verbal,0,0,0,0,0,0
africa,zambia,n,verbal,4,1,0,0,2,1
africa,zimbabwe,n,verbal,1,0,0,1,0,0
africa,botswana,m,verbal,4,1,1,2,0,0
africa,kenya,m,verbal,20,12,1,3,2,2
africa,malawi,m,verbal,37,28,2,1,2,4
africa,rwanda,m,verbal,41,29,2,4,1,5
africa,tanzania,m,verbal,13,8,0,2,0,3
africa,uganda,m,verbal,17,10,2,1,2,2
africa,zambia,m,verbal,17,5,3,4,3,2
africa,zimbabwe,m,verbal,9,6,0,1,0,2
africa,botswana,f,verbal,27,8,2,2,11,4
africa,kenya,f,verbal,62,7,6,9,34,6
africa,malawi,f,verbal,46,14,4,14,8,6
africa,rwanda,f,verbal,59,25,3,11,10,10
africa,tanzania,f,verbal,76,27,10,11,15,13
africa,uganda,f,verbal,38,9,1,6,17,5
africa,zambia,f,verbal,47,7,5,9,19,7
africa,zimbabwe,f,verbal,49,14,1,6,13,15
africa,botswana,n,physical,0,0,0,0,0,0
africa,kenya,n,physical,1,0,1,0,0,0
africa,malawi,n,physical,4,3,0,0,0,1
africa,rwanda,n,physical,3,2,1,0,0,0
africa,tanzania,n,physical,1,0,1,0,0,0
africa,uganda,n,physical,0,0,0,0,0,0
africa,zambia,n,physical,4,2,1,0,1,0
africa,zimbabwe,n,physical,1,1,0,0,0,0
africa,botswana,m,physical,4,3,0,1,0,0
africa,kenya,m,physical,20,16,1,3,0,0
africa,malawi,m,physical,37,33,0,0,0,4
africa,rwanda,m,physical,41,36,2,1,2,0
africa,tanzania,m,physical,13,8,1,2,0,2
africa,uganda,m,physical,17,12,2,2,1,0
africa,zambia,m,physical,17,8,1,2,3,3
africa,zimbabwe,m,physical,9,8,0,0,0,1
africa,botswana,f,physical,27,8,2,2,11,4
africa,kenya,f,physical,62,7,6,9,34,6
africa,malawi,f,physical,46,14,4,14,8,6
africa,rwanda,f,physical,59,25,3,11,10,10
africa,tanzania,f,physical,76,27,10,11,15,13
africa,uganda,f,physical,38,9,1,6,17,5
africa,zambia,f,physical,47,7,5,9,19,7
africa,zimbabwe,f,physical,49,14,1,6,13,15