region,country,gender,type,total,I was afraid of losing my job,I was afraid it would negatively impact my job,I didn't think my organisation would believe me,There are no reporting mechanisms at my organisation,I didn't know how to report,I didn't think I had evidence,I was afraid the perpetrator would retaliate,I didn't want myself or others to be negatively labeled,I didn't think it was a big deal,I was offered something by the perpetrator for not reporting,Other
africa,botswana,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,malawi,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,n,verbal,2,1,1,0,0,0,0,0,0,0,0,0
africa,tanzania,n,verbal,1,0,0,0,0,1,0,0,0,0,0,0
africa,uganda,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,zambia,n,verbal,6,0,1,0,1,1,1,0,1,0,0,1
africa,zimbabwe,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,m,verbal,4,0,1,1,1,1,0,0,0,0,0,0
africa,kenya,m,verbal,14,1,1,2,2,1,2,1,2,2,0,0
africa,malawi,m,verbal,4,0,1,0,0,0,1,0,0,1,0,1
africa,rwanda,m,verbal,5,2,0,1,0,0,0,0,0,2,0,0
africa,tanzania,m,verbal,2,0,0,0,0,0,0,0,1,1,0,0
africa,uganda,m,verbal,10,1,1,1,0,1,2,0,0,3,0,1
africa,zambia,m,verbal,14,3,1,1,3,1,1,0,1,1,0,2
africa,zimbabwe,m,verbal,1,0,0,0,0,0,0,0,0,1,0,0
africa,botswana,f,verbal,24,4,1,1,8,2,1,3,2,0,0,2
africa,kenya,f,verbal,112,10,21,9,12,9,13,7,12,11,0,8
africa,malawi,f,verbal,41,4,8,5,9,3,1,2,7,0,0,2
africa,rwanda,f,verbal,33,6,6,2,5,1,3,1,5,2,0,2
africa,tanzania,f,verbal,56,6,6,3,15,3,7,3,9,4,0,0
africa,uganda,f,verbal,46,4,8,2,5,4,6,2,6,7,0,2
africa,zambia,f,verbal,58,2,11,5,6,6,4,4,9,7,0,4
africa,zimbabwe,f,verbal,54,6,8,5,9,7,3,5,6,3,0,2
africa,botswana,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,n,physical,1,1,0,0,0,0,0,0,0,0,0,0
africa,malawi,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,n,physical,1,0,0,1,0,0,0,0,0,0,0,0
africa,tanzania,n,physical,1,0,0,0,0,0,1,0,0,0,0,0
africa,uganda,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,zambia,n,physical,6,0,1,1,1,1,1,0,1,0,0,0
africa,zimbabwe,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,m,physical,2,0,0,1,1,0,0,0,0,0,0,0
africa,kenya,m,physical,4,1,0,0,1,0,1,0,0,1,0,0
africa,malawi,m,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,m,physical,6,1,0,0,1,0,0,0,0,2,1,1
africa,tanzania,m,physical,5,1,1,0,1,0,0,1,0,0,0,1
africa,uganda,m,physical,12,1,2,0,1,1,2,0,2,3,0,0
africa,zambia,m,physical,8,1,1,1,2,0,1,1,0,0,0,1
africa,zimbabwe,m,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,f,physical,21,4,3,1,4,1,1,1,1,2,0,3
africa,kenya,f,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,malawi,f,physical,20,2,3,3,6,1,0,1,2,0,0,2
africa,rwanda,f,physical,27,5,5,1,2,3,1,2,4,4,0,0
africa,tanzania,f,physical,44,7,9,4,5,1,6,4,4,0,1,3
africa,uganda,f,physical,40,2,5,3,6,6,7,2,5,2,0,2
africa,zambia,f,physical,37,1,9,3,3,5,3,6,6,1,0,0
africa,zimbabwe,f,physical,36,3,7,2,5,5,1,5,4,1,0,3