region,country,gender,type,total,Dismissed without action,Perpetrator fired,Perpetrator warned,Perpretrator transferred,Perpetrator suspended,Police informed,I was transferred,I was provided support,Organisation provided training,I was fired,other
africa,botswana,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,malawi,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,tanzania,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,uganda,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,zambia,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,zimbabwe,n,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,m,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,m,verbal,1,0,0,1,0,0,0,0,0,0,0,0
africa,malawi,m,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,m,verbal,1,0,0,0,0,0,1,0,0,0,0,0
africa,tanzania,m,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,uganda,m,verbal,1,1,0,0,0,0,0,0,0,0,0,0
africa,zambia,m,verbal,6,0,0,1,0,0,1,0,2,1,0,1
africa,zimbabwe,m,verbal,0,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,f,verbal,3,0,0,2,0,0,0,0,0,0,0,1
africa,kenya,f,verbal,8,1,0,2,0,1,0,1,2,0,0,1
africa,malawi,f,verbal,5,0,0,4,0,0,0,0,0,1,0,0
africa,rwanda,f,verbal,2,0,0,1,0,0,0,0,0,0,0,1
africa,tanzania,f,verbal,6,0,1,2,1,0,0,0,0,2,0,0
africa,uganda,f,verbal,2,0,0,2,0,0,0,0,0,0,0,0
africa,zambia,f,verbal,9,1,0,2,0,1,0,0,2,3,0,0
africa,zimbabwe,f,verbal,8,0,0,5,0,0,0,0,0,1,0,2
africa,botswana,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,malawi,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,tanzania,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,uganda,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,zambia,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,zimbabwe,n,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,m,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,m,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,malawi,m,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,m,physical,1,0,0,1,0,0,0,0,0,0,0,0
africa,tanzania,m,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,uganda,m,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,zambia,m,physical,6,0,0,1,0,1,1,0,0,2,1,0
africa,zimbabwe,m,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,f,physical,3,1,0,1,0,0,1,0,0,0,0,0
africa,kenya,f,physical,2,1,0,0,0,0,0,0,0,1,0,0
africa,malawi,f,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,f,physical,0,0,0,0,0,0,0,0,0,0,0,0
africa,tanzania,f,physical,2,1,0,0,0,0,0,1,0,0,0,0
africa,uganda,f,physical,2,0,0,2,0,0,0,0,0,0,0,0
africa,zambia,f,physical,2,0,0,2,0,0,0,0,0,0,0,0
africa,zimbabwe,f,physical,4,0,0,4,0,0,0,0,0,0,0,0